time,supply,liquidity,ratio
2024-03-14 23:00:00,1057682200.1558512,87457266.46208484,0.0826876602907734
2024-03-15 00:00:00,1060928393.2188512,87013579.05426766,0.0820164486222005
2024-03-16 13:00:00,1088446044.8038514,87397241.15671507,0.0802954281233709
2024-03-16 17:00:00,1091442867.1018512,86823218.27701366,0.0795490271584792
2024-03-16 19:00:00,1092941261.6618512,86096898.76865497,0.0787754125393179
2024-03-17 15:00:00,1104429175.0478508,85356626.61317898,0.077285740490766
2024-03-18 05:00:00,1116394662.339851,86422533.84668946,0.0774121704107367
2024-03-20 18:00:00,1191849104.380125,87829872.92926005,0.073692108008035
2024-03-21 16:00:00,1222677331.28746,90283993.34302154,0.0738412261622237
2024-03-24 15:00:00,1302238043.47006,90028503.26989965,0.0691336762286576
2024-03-29 21:00:00,1497870517.7253203,85306792.96207997,0.0569520475585751
2024-04-01 15:00:00,1550009844.9217007,81546708.04224218,0.0526104452235666
2024-04-02 11:00:00,1588259787.5519006,88214339.98024231,0.055541505660238
2024-04-02 13:00:00,1601046079.7389004,88197558.47775862,0.0550874578776283
2024-04-02 15:00:00,1674279697.1148005,90809947.03078943,0.0542382178958972
2024-04-03 07:00:00,1882462837.3992624,92673751.58046643,0.0492300563598381
2024-04-03 18:00:00,1957001749.4762623,91485674.6003396,0.0467478757363519
2024-04-04 00:00:00,1977471671.1486545,86414259.82518676,0.0436993667651336
2024-04-06 12:00:00,2032442630.69186,108671684.23885344,0.0534685125168136
2024-04-07 05:00:00,2040934253.5447772,107412410.21957377,0.0526290398786808
2024-04-08 03:00:00,2075049209.1347773,108404599.49855442,0.0522419415507525
2024-04-08 04:00:00,2076048193.0207772,107803692.41726772,0.0519273554340791
2024-04-08 07:00:00,2088535504.0827773,112369969.1650625,0.0538032362607175
2024-04-09 01:00:00,2220245068.531977,122552360.38764375,0.0551976726013742
2024-04-09 08:00:00,2242721746.3489766,121817652.20858309,0.0543168818900049
2024-04-09 13:00:00,2253910049.7619767,124319928.06535894,0.0551574487537724
2024-04-10 08:00:00,2307354419.087978,112797637.57806776,0.0488861341131342
2024-04-10 11:00:00,2317843655.9639783,113490016.57516824,0.0489636202524489
2024-04-10 13:00:00,2318542907.4159784,113802843.465754,0.0490837771868485
2024-04-10 15:00:00,2324536593.4059787,115613131.49733531,0.0497359911757446
2024-04-11 08:00:00,2339450883.185038,116341003.76590782,0.0497300475945516
2024-04-11 09:00:00,2341448862.185038,112315040.21418773,0.0479681798855839
2024-04-12 02:00:00,2363349705.0996175,120163275.09787264,0.0508444750425996
2024-04-12 04:00:00,2367345621.4826174,119952411.58971348,0.0506695813662349
2024-04-13 22:00:00,2376806384.5162435,88031368.256105,0.0370376690459884
2024-04-30 20:00:00,2335068008.786326,78251290.80551222,0.033511354063809
2024-05-02 03:00:00,2313065100.241326,71581142.34931944,0.0309464451916425
2024-05-04 14:00:00,2292560769.1509256,81473148.96730307,0.0355380542420594
2024-05-06 12:00:00,2291560881.1509256,87897714.28671008,0.0383571368361655
2024-05-09 15:00:00,2294468142.4980254,97783309.31120232,0.0426169827769951
2024-05-12 05:00:00,2303684965.4770255,91949938.35093568,0.0399142850384907
2024-05-21 10:00:00,2516602850.5995054,112520719.97113676,0.0447113536187611
2024-05-26 07:00:00,2776292516.2903075,111396704.1423808,0.040124267701888
2024-05-27 05:00:00,2788380276.9642105,109545964.93298537,0.039286594385272
2024-05-28 01:00:00,2848356677.1730123,106117048.95499788,0.0372555339734765
2024-05-28 23:00:00,2895581147.4703903,104281330.4597857,0.0360139554544644
2024-05-29 03:00:00,2903561911.3703904,103476869.75799252,0.0356379071349488
2024-05-29 16:00:00,2919582587.2293906,103877868.43160371,0.0355796985795086
2024-05-29 23:00:00,2929994819.968391,115007647.47064827,0.0392518262103579
2024-05-30 01:00:00,2933502046.005391,115523476.787485,0.0393807384401847
2024-05-30 14:00:00,2955578169.364392,119386349.95891713,0.0403935687427924
2024-05-30 17:00:00,2963537633.6179423,119965994.484028,0.0404806718575634
2024-05-31 04:00:00,2978605561.9924703,120830293.73830742,0.040566060602358
2024-05-31 10:00:00,2986846991.1844707,119531979.55929112,0.0400194519210671
2024-06-02 00:00:00,3018038632.5261,117246921.41963772,0.0388487145777527
